text,category,quadrant,quadrant_reason
Protest tactics that block traffic should result in arrest,Criminal justice,Auth-Right,Supports strict law enforcement against protesters.
SpaceX's private space stations will accelerate scientific research beyond government capabilities,Technology regulation,Lib-Right,Advocates for private sector innovation over government control in space exploration.
Gender-neutral bathrooms should be required in public buildings,Social issues,Lib-Left,Promotes inclusivity and challenges traditional gender norms.
National security justifies bulk data collection programs,Technology regulation,Auth-Right,Justifies government surveillance for national security purposes.
Amazon should be required to publish all government contracts and lobbying expenditures in real-time.,Economic policy,Auth-Left,"Advocates for transparency and accountability from corporations, implying government oversight."
Waymo's potential to serve disabled and elderly justifies public support,Technology regulation,Auth-Left,Suggests public funding to support accessibility for vulnerable groups.
The United States should pursue a non-interventionist foreign policy,Foreign policy,Lib-Right,Advocates for less government involvement in foreign affairs.
TikTok's influence on youth political views constitutes foreign electoral interference.,Technology regulation,Auth-Right,Implies a need to regulate or restrict foreign influence on domestic politics.
Ensuring fair wages through legislation can help reduce economic disparities.,Economic policy,Auth-Left,Supports government intervention to ensure fair wages and reduce inequality.
Critical race theory provides valuable insights about systemic racism,Social issues,Lib-Left,Endorses a specific ideology focused on social justice and systemic inequality.
Starlink's control over global internet infrastructure poses unacceptable national security risks,Technology regulation,Auth-Right,Suggests national security concerns related to private control over infrastructure.
CEO pay should be capped relative to median worker pay,Economic policy,Auth-Left,Advocates for government-imposed restrictions on executive compensation to address income inequality.
Content moderation decisions should be reviewed by government oversight,Technology regulation,Auth-Right,Government oversight of content moderation implies state control.
Neuralink's potential to record thoughts poses unprecedented privacy threats,Technology regulation,Centrist,This is a general privacy concern with no specific ideological leaning.
"College athletes should be allowed to profit from their name, image, and likeness",Economic policy,Lib-Right,Individual economic freedom; allowing people to profit from their labor.
Mandatory drug testing for welfare recipients is justified,Social issues,Auth-Right,Strict law and order; intrusive state power over individuals.
Meta's data collection practices are a necessary trade-off for free services that connect billions of people globally.,Technology regulation,Auth-Right,Accepting data collection as a trade-off favors corporate power.
"Meta should be broken up into separate companies for Facebook, Instagram, and WhatsApp to prevent monopolistic control over social communication.",Technology regulation,Auth-Left,Breaking up companies to prevent monopolies implies state intervention in the economy.
"Companies should be liable for any discriminatory outcomes produced by their AI systems, regardless of intent.",Technology regulation,Auth-Left,Holding companies liable regardless of intent favors collective protection over individual enterprise.
Fossil fuel extraction on public lands should be banned,Environmental policy,Lib-Left,Protecting the environment through restrictions on extraction.
Data portability requirements would increase competition among tech platforms,Technology regulation,Lib-Right,Increased competition and free markets through deregulation.
AI systems that demonstrate consciousness equivalent to animals should be granted legal rights and protections against suffering,Technology regulation,Lib-Left,Extending rights and protections to animals based on a progressive definition of rights.
Hostile foreign investments in critical infrastructure should be blocked,Foreign policy,Auth-Right,Protecting critical infrastructure implies national security and economic control.
Oracle's database technology is too critical to be controlled by a single American corporation.,Technology regulation,Auth-Left,Concern over a single company controlling essential technology; favoring state control.
International sanctions should target countries using AI for mass surveillance of their populations.,Foreign policy,Auth-Right,"Using international power to enforce specific values, particularly against surveillance."
Meta's business model of surveillance capitalism is fundamentally incompatible with human dignity and privacy rights.,Technology regulation,Lib-Left,Opposing surveillance capitalism and prioritizing human dignity and privacy rights.
Mandatory background checks should apply to all firearm purchases,Criminal justice,Auth-Right,Favors regulation of gun ownership for public safety.
Government procurement should prioritize domestic suppliers over cost savings,Economic policy,Auth-Right,Prioritizing domestic suppliers over cost savings implies economic nationalism.
Public housing projects are an effective solution to homelessness,Economic policy,Auth-Left,Public housing implies government provision of housing.
Law enforcement should be prohibited from using civil asset forfeiture,Criminal justice,Lib-Right,Protecting individual property rights from government seizure.
The electoral college ensures fair representation for less populated states,Social issues,Auth-Right,Supporting the electoral college implies maintaining the existing power structure.
Google employees have too much influence over company political positions through internal activism,Social issues,Auth-Right,Concern about 'internal activism' implies favoring traditional hierarchy.
Solitary confinement constitutes cruel and unusual punishment,Criminal justice,Lib-Left,Against cruel punishment.
Tax deductions for charitable donations encourage philanthropy and community support.,Economic policy,Lib-Right,"Favors charity over state welfare, lower taxes."
Blockchain technology eliminates the need for financial regulation,Technology regulation,Lib-Right,Deregulation of finance.
Internet access should be classified as a human right,Technology regulation,Lib-Left,"Expands rights, access for all."
Bank regulations since 2008 have made the financial system safer,Economic policy,Auth-Right,Trusts regulations imposed by state.
The US should maintain military bases around the world,Foreign policy,Auth-Right,Supports a strong military and national interest.
Workers should have the right to disconnect from Amazon's employee monitoring apps outside of work hours.,Technology regulation,Lib-Left,"Workers rights, anti-big business surveillance."
Apple's privacy stance is mostly marketing rather than genuine user protection,Technology regulation,Centrist,Doesn't lean one way or another.
Google's free products for schools create unhealthy dependency on their ecosystem,Technology regulation,Centrist,Doesn't lean one way or another.
The government should provide free contraception to all who want it,Social issues,Auth-Left,State-provided service.
The billions Meta spends on metaverse development would be better invested in addressing real-world problems like climate change.,Technology regulation,Lib-Left,Favors climate action over corporate profits.
Algorithmic decision-making in hiring should be regulated,Technology regulation,Auth-Left,Regulation of hiring practices.
Promoting bipartisan solutions can lead to more balanced and effective policies.,Foreign policy,Centrist,Promotes balance and compromise.
Policies should promote both competitive markets and consumer protections.,Economic policy,Centrist,Both free market and consumer protections.
Mandatory minimum sentences deter serious crime,Criminal justice,Auth-Right,"Tough on crime, supports state authority."
Expanding social programs can provide support for vulnerable populations.,Economic policy,Auth-Left,State support for vulnerable.
The environmental cost of Uber and Lyft increasing urban car trips outweighs their convenience benefits.,Environmental policy,Lib-Left,Against corporate convenience that causes environmental harm.
AI systems should be required to identify themselves as non-human in all interactions.,Technology regulation,Centrist,Regulation of AI for safety.
School prayer should be allowed in public schools,Social issues,Auth-Right,Supports traditional values and religion in public life.
Border walls are effective tools for national security,Immigration,Auth-Right,National security and border control.
Strengthening climate policies is crucial to combat global warming and protect the environment.,Environmental policy,Lib-Left,"Implies environmental protection, a left-leaning value"
AI companies should be required to undergo annual audits for market manipulation practices.,Technology regulation,Auth-Left,"Implies government regulation of companies, an authority-based economic policy"
Journalists should have special legal protections when investigating AI company practices.,Technology regulation,Auth-Left,"Implies special legal protections, an authority-based social policy"
Public broadcasting serves an essential democratic function,Social issues,Auth-Left,Essential democratic function implies public services with authority
Amazon's carbon footprint from same-day delivery negates any environmental benefits from their renewable energy investments.,Environmental policy,Lib-Left,"Highlights environmental concerns and criticizes corporations, aligning with left-leaning values"
Outsourcing jobs overseas should be penalized through taxation,Economic policy,Auth-Right,Supports economic protectionism through taxation
Government-funded research should remain in public domain,Technology regulation,Auth-Left,Government-funded research should be public domain implies state-provided service
Facebook's role in enabling genocide in Myanmar demonstrates why social media companies need strict international oversight.,Technology regulation,Auth-Left,"Advocates for strict international oversight of social media, favoring authority-based solutions to social problems"
The mortgage interest deduction unfairly benefits the wealthy,Economic policy,Lib-Left,"Critiques a tax deduction as benefiting the wealthy, supporting equality"
Land value taxes are preferable to property taxes,Economic policy,Lib-Left,Land value taxes are preferred implies more fair taxing
Public sector unions should have the right to strike,Economic policy,Lib-Left,"Supports labor rights, favoring equality and collective action"
Employee ownership models like co-ops create more equitable workplaces,Economic policy,Lib-Left,"Employee ownership is equitable, which leans Lib-Left"
Alphabet's financial reserves allow long-term research impossible for smaller companies,Technology regulation,Centrist,"An observation about Alphabet, no leaning to a political quadrant"
Local communities should control their own immigration enforcement policies,Immigration,Auth-Right,Local immigration enforcement implies more strict borders and traditional authority
Traditional gender roles benefit society and should be preserved,Social issues,Auth-Right,Promotes traditional values and social conservatism
School libraries should notify parents of books their children check out,Education,Auth-Right,"Supports parental notification, implying a preference for traditional family values and control"
Rural communities should receive subsidies for AI infrastructure to prevent digital divides.,Technology regulation,Auth-Left,"Supports government subsidies for infrastructure, leaning toward wealth distribution by authority"
AI systems capable of generating bioweapons information should be classified and restricted.,Technology regulation,Auth-Right,"Restriction and classification, based on authority to control scientific information"
Efficient government spending is necessary to maximize the impact of taxpayer dollars.,Economic policy,Centrist,Vague statement about 'efficient government spending'
Banks should be required to maintain higher capital reserves,Economic policy,Auth-Left,Capital reserves maintained implies state regulation of banks
Billionaires should not exist in a just society,Economic policy,Auth-Left,Implies wealth redistribution and economic leveling by the state.
Standardized testing improves educational outcomes,Education,Auth-Right,Implies a belief in standardized metrics and top-down control in education.
It is important to consider the long-term impact of policy decisions on all citizens.,Social issues,Centrist,A generally applicable and non-ideological principle.
Police departments should be required to carry liability insurance,Criminal justice,Lib-Left,Implies accountability and potential defunding/restriction of police via market mechanisms.
Amazon Web Services' market dominance threatens national infrastructure security,Technology regulation,Auth-Right,Focus on national security and the threat of a private entity.
AI systems making medical diagnoses should require sign-off from licensed physicians before patient notification.,Healthcare,Auth-Right,Implies caution about technological autonomy and preserving authority of credentialed professionals.
Balanced trade policies should support domestic growth and global integration.,Economic policy,Centrist,Attempts to balance domestic and global interests.
International trade benefits outweigh job losses in affected industries,Economic policy,Lib-Right,Prioritizes overall economic benefits over individual job security.
Cultural appropriation is a serious form of harm that should be discouraged,Social issues,Lib-Left,"Focuses on harm and discouragement of cultural practices, implying social justice concerns."
Public schools should be prohibited from using AI-powered behavior prediction systems on students.,Education,Lib-Left,"Expresses concern over privacy and the use of AI in schools, implying individual freedom."
A fair economic system requires addressing both wealth creation and wealth distribution.,Economic policy,Centrist,Acknowledges both wealth creation and distribution.
Government-funded universal pre-K would boost economic productivity,Education,Auth-Left,Advocates for a government-funded social program to boost economic output.
Corporations have a duty to prioritize shareholder value above other stakeholders,Economic policy,Lib-Right,"Prioritizes shareholder value in corporations, aligning with free-market capitalism."
The data Amazon collects through its various services gives it an unfair advantage that no amount of regulation can fix.,Technology regulation,Auth-Left,Suggests that regulation is insufficient to address the power of a large corporation and implies a need for more drastic intervention.
Meta should be legally liable for mental health damages caused by algorithmic amplification of harmful content on its platforms.,Technology regulation,Auth-Left,Suggests holding a corporation legally responsible for harm and government intervention.
"ByteDance's data practices are no worse than American tech companies, and TikTok bans are purely protectionist.",Technology regulation,Lib-Left,"Skepticism of state action, casts bans as protectionist rather than genuinely addressing data concerns."
AI systems used in education should be required to promote critical thinking over rote answers.,Education,Lib-Left,"Focuses on critical thinking over rote learning, implying progressive educational values."
Cancel culture threatens free expression in democratic society,Social issues,Lib-Right,"Focuses on free expression and association, which are important components of free market societies."
Fossil fuel companies should pay for climate adaptation costs,Environmental policy,Auth-Left,"Imposes a financial burden on corporations to fund climate adaptation, implying wealth redistribution."
Musk's wealth should be subject to a wealth tax to fund public services,Economic policy,Auth-Left,"Advocates for wealth taxation to fund public services, which aligns with wealth redistribution."
Public funding should support alternative AI architectures not dominated by big tech companies.,Technology regulation,Auth-Left,Government funding to challenge big tech implies state intervention for broader distribution of resources.
International criminal courts undermine national sovereignty,Foreign policy,Auth-Right,Upholding national sovereignty is a key tenet.
Free market capitalism is the best system for lifting people out of poverty,Economic policy,Lib-Right,Belief in the free market to alleviate poverty reflects economic liberalism.
Algorithmic pricing between competitors should be illegal,Technology regulation,Auth-Left,Government intervention to prevent algorithmic pricing suggests regulation for equality.
Data privacy regulations harm small business competitiveness,Technology regulation,Lib-Right,Concern for small business competitiveness against regulation aligns with less government intervention.
Meta's stock buybacks should be limited until they adequately address the mental health crisis their platforms contribute to.,Technology regulation,Auth-Left,Limiting stock buybacks to address mental health is state intervention for social welfare.
Online anonymity is essential for free speech,Technology regulation,Lib-Left,Prioritizing online anonymity to ensure free speech aligns with individual liberty.
Farm animal welfare regulations impose unnecessary costs on producers,Economic policy,Lib-Right,Opposing regulations on producers to minimize costs reflects economic freedom.
Stand your ground laws protect legitimate self-defense rights,Criminal justice,Auth-Right,Support for self-defense laws aligns with individual responsibility and law and order.
"Meta's content moderators should be classified as employees, not contractors, with full benefits and mental health support.",Economic policy,Auth-Left,Classifying contractors as employees with full benefits implies regulation and worker protection.
Homeschooling should face stricter government oversight,Education,Auth-Right,Stricter government oversight over homeschooling reflects increased state control.
School discipline disparities reflect systemic bias,Education,Lib-Left,Belief in systemic bias indicates social justice concerns.
Virtual reality headsets should be regulated like addictive substances due to their potential for psychological dependency.,Technology regulation,Auth-Right,Regulating VR due to addiction potential reflects government control over personal choices.
Nonprofit hospitals that act like businesses should lose tax exemptions,Healthcare,Auth-Left,Removing tax exemptions from nonprofits implies wealth redistribution based on perceived abuse.
Public schools should be funded equally regardless of local property values,Education,Auth-Left,Equal school funding regardless of property values indicates wealth redistribution for equality of opportunity.
Violent video games contribute to real-world violence,Social issues,Auth-Right,Blaming video games for violence implies stricter controls on media and cultural products.
International trade agreements undermine national sovereignty,Foreign policy,Auth-Right,Concerns about international trade agreements undermining national sovereignty.
YouTube's recommendation algorithm radicalizes viewers and should be redesigned by law,Technology regulation,Auth-Left,Government intervention in algorithm design suggests state control over media to avoid radicalization.
Expanding social security benefits can provide better support for the elderly and disabled.,Economic policy,Auth-Left,Expanding social security aligns with state-provided social support.
English should be the official language of government,Social issues,Auth-Right,Making English the official language aligns with nationalism.
Public pension funds should divest from fossil fuel companies,Environmental policy,Lib-Left,Divesting from fossil fuels aligns with environmental protection.
YouTube's content moderation employs thousands and shows corporate job creation,Economic policy,Lib-Right,Focuses on corporate job creation in the free market.
Private equity firms should face stricter regulation,Economic policy,Auth-Left,Stricter regulation of private equity implies government intervention in the economy.
AI systems used in criminal justice should be prohibited from making sentencing recommendations.,Criminal justice,Lib-Left,Preventing AI from sentencing aligns with social justice and reducing bias.
A free market economy is the best way to ensure economic growth and innovation.,Economic policy,Lib-Right,Explicit endorsement of free market economics.
Moderate social safety nets should support those in need while encouraging self-reliance.,Economic policy,Centrist,Balances social safety nets with self-reliance.
Surveillance technology in public spaces enhances safety,Technology regulation,Auth-Right,Prioritizes public safety through surveillance technology.
Non-citizens should be counted in census apportionment,Immigration,Lib-Left,Counting non-citizens expands representation and aligns with inclusivity.
Expanding educational opportunities for underrepresented groups is key to social equity.,Education,Lib-Left,Focuses on social equity and opportunities for underrepresented groups.
A strong emphasis on law and order is necessary to maintain public safety.,Criminal justice,Auth-Right,Emphasizes law and order as a priority.
Investing in cybersecurity is essential to protect national interests and infrastructure.,Technology regulation,Centrist,Protecting national interests can be argued from multiple perspectives.
Sanctuary cities undermine federal immigration law and should lose funding,Immigration,Auth-Right,Undermining sanctuary cities implies stricter immigration enforcement.
Voter registration should be automatic for all citizens,Social issues,Lib-Left,Automatic voter registration promotes greater participation and inclusivity.
Patent terms should be shortened to encourage innovation,Economic policy,Lib-Right,Shortening patent terms encourages innovation through competition.
Green New Deal policies would strengthen the economy,Environmental policy,Auth-Left,Implies economic strengthening via collective environmental action.
AI language models should be required to cite sources for factual claims to combat misinformation.,Technology regulation,Centrist,Combating misinformation is a goal across the spectrum.
A balanced approach to economic reform should consider both efficiency and equity.,Economic policy,Centrist,Balances efficiency and equity in economic reform.
Ranked choice voting would reduce political polarization,Social issues,Centrist,Reducing political polarization is a widely shared goal.
Promoting technical education can boost employment and meet industry needs.,Education,Centrist,Promoting technical education can be argued from different perspectives.
AI tutoring systems should supplement but never replace human teachers in classrooms.,Education,Centrist,Supplementing human teachers can be argued from multiple perspectives.
A healthy democracy values diverse perspectives and encourages open debate.,Social issues,Centrist,Values diverse perspectives; could be argued from multiple positions
Jury nullification is a legitimate check on unjust laws,Criminal justice,Lib-Left,Checking unjust laws implies anti-authoritarianism and individual freedom
Supporting moderate increases in public spending can stimulate growth.,Economic policy,Centrist,Moderate increases could be argued by different quadrants
Charter schools improve educational outcomes through competition,Education,Lib-Right,Competition and school choice implies free market approach to education
National borders are artificial constructs that restrict human freedom,Immigration,Lib-Left,Open borders and human freedom
Governance should balance economic development with cultural preservation.,Social issues,Centrist,Balancing economic development and cultural preservation
Corporate executives should face criminal liability for company wrongdoing,Criminal justice,Auth-Left,Holding corporate executives criminally liable implies government control
Pension funds should be restricted from investing in AI companies that fail ethics audits.,Technology regulation,Auth-Left,Restricting investments based on ethics audits implies strong government regulation
Amazon's warehouse workers deserve mandatory union representation to protect them from exploitative working conditions and unrealistic productivity quotas.,Economic policy,Auth-Left,Mandatory union representation implies government intervention in labor markets
Companies should pay royalties when AI systems generate content in the style of specific artists.,Technology regulation,Auth-Left,Requiring royalties implies government control over intellectual property and wealth redistribution
Cities should charge Amazon a per-package fee for using public roads to fund infrastructure maintenance.,Economic policy,Auth-Left,Per-package fee on Amazon implies government taxation and wealth redistribution
Marijuana should be legalized and regulated like alcohol,Social issues,Lib-Left,Legalizing and regulating marijuana implies individual freedom and limited government intervention
Public investment should balance economic growth with community benefits.,Economic policy,Centrist,Balancing economic growth with community benefits
Sex education in schools should include LGBTQ+ topics,Education,Lib-Left,LGBTQ+ topics in sex education aligns with progressive social values
Children should have unrestricted access to social media,Technology regulation,Lib-Right,Unrestricted access implies freedom and minimal government intervention
National security justifies restrictions on civil liberties,Social issues,Auth-Right,National security over civil liberties implies prioritization of state authority
Data localization requirements protect citizens from foreign surveillance,Technology regulation,Auth-Right,Protecting citizens from foreign surveillance through data localization aligns with nationalism and state authority
The use of AI in dating apps should be regulated to prevent emotional exploitation.,Technology regulation,Auth-Left,Government regulations to prevent emotional exploitation implies strong government intervention
Salesforce's carbon-neutral commitments are meaningless greenwashing given its role in enabling corporate overconsumption.,Environmental policy,Lib-Left,Criticizing corporate greenwashing and overconsumption aligns with anti-corporate and environmentalist views
Private property rights should take precedence over indigenous land claims,Social issues,Auth-Right,Prioritizing private property over indigenous claims favors traditional power structures and property rights
PayPal's ability to freeze accounts without explanation gives it dangerous power over people's livelihoods.,Technology regulation,Lib-Right,Implies concern about corporate power over individual liberty.
Companies using AI for hiring should be required to interview a minimum percentage of human-selected candidates.,Technology regulation,Auth-Left,Favors government intervention to ensure fair hiring practices.
Supporting moderate innovation policies can drive progress without significant risk.,Technology regulation,Centrist,Supports innovation but doesn't clearly favor specific policies.
Cryptocurrency transactions should be subject to the same reporting requirements as traditional banking,Economic policy,Auth-Right,Favors government regulation and control over cryptocurrency.
AI systems should be designed with built-in obsolescence to prevent permanent technological unemployment.,Technology regulation,Auth-Left,Advocates for a planned economy to prevent unemployment.
Google's removal of Parler from Play Store was justified to prevent violence,Technology regulation,Auth-Right,Supports censorship to preserve public order
Bank executives should face criminal liability for financial crimes,Criminal justice,Auth-Right,Favors strict law enforcement and accountability for corporations.
Wealthy individuals should pay a significantly higher percentage of their income in taxes than middle-class earners,Economic policy,Auth-Left,Supports wealth redistribution through progressive taxation.
Felons should have voting rights restored upon release,Criminal justice,Lib-Left,Supports expanding voting rights for marginalized groups.
Banks should be required to serve legal but controversial industries,Economic policy,Lib-Right,Against discrimination based on political opinions
The casualization of work through platforms like Uber erodes hard-won labor protections and must be reversed.,Economic policy,Auth-Left,Favors protecting workers' rights through government intervention.
The federal gas tax should be increased to fund infrastructure,Economic policy,Centrist,Raising gas taxes for infrastructure is a pragmatic issue with arguments from different sides.
Autonomous vehicles should require human override capabilities and the manufacturer should bear full liability for accidents.,Technology regulation,Auth-Right,Prefers safety and corporate responsibility above individual liberty
Voting should require government-issued photo identification,Social issues,Auth-Right,Supports measures that may limit voting rights to ensure electoral integrity.
School lunch programs should be universally free,Education,Auth-Left,Supports universal access to essential services through government programs.
